id,en,fr,de,nl,ar
global.language.english,English,English,English,English,English
global.language.french,Français,Français,Français,Français,Français
global.language.dutch,Dutch,Dutch,Dutch,Dutch,Dutch
global.language.german,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
global.fab.skip,Skip,Passer,,,
global.button.next,Next,Suivant,,,
global.button.login,Log in,Connexion,,,
global.button.confirm,Confirm,Confirmer,,,
global.button.signup,Sign up,S'inscrire,,,
global.button.send,Send,Envoyer,,,
global.button.save,Save,Enregistrer,,,
global.button.allow,Allow,Autoriser,,,
global.button.skip,Skip,Plus tard,,,
global.button.startSelling,Start selling,Commencez,,,
global.button.continue,Continue,Continuer,,,
global.button.remove,Remove,Supprimer,,,
global.button.edit,Edit,Modifier,,,
global.button.back,Back,Back,,,
global.button.close,Close,Close,,,
global.button.saveOffer,Save offer,Save offer,,,
global.button.submit,Submit,Submit,,,
global.divider.or,OR,OU,,,
global.label.or,Or,Or,,,
global.label.emailAddress,Email Address,E-mail,,,
global.label.password,Password,Mot de passe,,,
global.label.resendCode,Resend code,Renvoyer le code,,,
global.label.resend,Resend,Renvoyer,,,
global.label.login,Login,Connexion,,,
global.label.firstName,First name,Prénom,,,
global.label.lastName,Last name,Nom,,,
global.label.personalInformation,Personal information,Informations Personnelles,,,
global.label.city,City,Ville,,,
global.label.postCode,Postcode,Code postal,,,
global.label.streetAndHouseNumber,Street and house number,N° et nom de rue,,,
global.label.address,Address,Adresse,,,
global.label.phoneNumber,Phone number,Téléphone,,,
global.label.profileName,Profile name,Nom de profil,,,
global.label.aboutMe,About me,A propos de moi,,,,
global.label.language,Language,Langue,,,
global.label.available,Available,Available,,,
global.label.pending,Pending,Pending,,,
global.label.toBeConfirmed,To be confirmed,To be confirmed,,,
global.label.toBePrepared,To be prepared,To be prepared,,,
global.label.activeOffers,Active offers,Active offers,,,
global.label.mealsServed,Meals served,Meals served,,,
global.label.tips,Tips,Tips,,,
global.label.title,Title,Title,,,
global.label.description,Description,Description,,,
global.label.price,Price,Price,,,
global.label.mandatoryFields,Mandatory fields,Mandatory fields,,,
global.label.tags,Tags,Tags,,,
global.label.allergens,Allergens,Allergens,,,
global.label.portionWeight,Portion weight,Portion weight,,,
global.label.offerType,Offer type,Offer type,,,
global.label.preorder,Pre-order,Pre-order,,,
global.label.ondemand,On-demand,On-demand,,,
global.label.servingDate,Serving date,Serving date,,,
global.label.orderUntil,Order until,Order until,,,
global.label.noticePeriod,Notice period,Notice period,,,
global.label.quantity,Quantity,Quantity,,,
global.label.dishes,Dishes,Dishes,,,
global.label.hours,Hours,Hours,,,
global.label.hoursLowercase,hours,hours,,,
global.label.gramm,Gramm,Gramm,,,
global.label.option,Option,Option,,,
global.label.onlyPickup,Only Pick-up,Only Pick-up,,,
global.label.onlyDelivery,Only Delivery,Only Delivery,,,
global.label.deliveryAndPickup,Delivery & Pickup,Delivery & Pickup,,,
global.label.pickupAddress,Pickup address,Pickup address,,,
global.label.chefAddress,Chef's address,Chef's address,,,
global.label.review,Leave a review,Leave a review,,,
global.label.delivery,Delivery,Delivery,,,
global.label.pickup,Pickup,Pickup,,,
global.label.zone,Zone,Zone,,,
global.label.distance,Distance,Distance,,,
global.label.euroSign,€,€,€,€,€
global.label.notifications,Notifications,Notifications,,,
global.label.messages,Messages,Messages,,,
global.label.inPreparation,In-preparation,In-preparation,,,
global.label.delivered,Delivered,Delivered,,,
global.label.inPrep,In-prep.,In-prep.,,,
global.label.enter6DigitCode,Enter 6 digits code,Enter 6 digits code,,,
global.label.scanQRCode,Scan QR code,Scan QR code,,,
global.label.reviews,Reviews,Reviews,,,
global.label.edit,Edit,Edit,,,
global.label.draft,Draft,Draft,,,
global.label.active,Active,Active,,,
global.label.archive,Archive,Archive,,,
global.label.firstAndLastName,First and last name,First and last name,,,
global.label.birthdate,Birthdate,Birthdate,,,
global.label.billingAddress,Billing address,Billing address,,,
global.label.attachYourAddress,Attach your address,Attach your address,,,
global.label.bankAccount,Bank account,Bank account,,,
global.label.attachYourIBAN,Attach your IBAN,Attach your IBAN,,,
global.label.inactive,Inactive,Inactive,,,
global.label.off,off,off,,,
global.label.saveInDraft,Save in draft,Save in draft,,,
global.label.estimation,estimation,estimation,,,
global.label.customer,Customer,Customer,,,
global.label.specialNote,Special note,Special note,,,
global.label.serving,Serving,Serving,,,
global.label.orders,Orders,Orders,,,
global.label.cuisines,Cuisines,Cuisines,,,
global.label.share,Share,Share,,,
global.label.top,Top,Top,,,
global.label.okay,Okay,Okay,,,
global.label.onDemand,On demand,On demand,,,
global.label.save,Save,Enregistrer,,,
global.label.notSet,Not set,Not set,,,
validation.email.required,Email is required.,,,,
validation.email.notValid,Not a valid email.,,,,
validation.password.required,Password is required.,,,,
validation.password.minLength,Password must be at least 8 characters long.,,,,
validation.password.maxLength,Password cannot be more than 32 characters long.,,,,
validation.password.containNumber,Password must contain a number.,,,,
validation.password.containSpecial,Password must contain a special character.,,,,
validation.password.containUppercase,Password must contain a uppercase character.,,,,
validation.password.containLowercase,Password must contain a lowercase character.,,,,
validation.newPasswordConfirm.required,Please retype the password here.,,,,
validation.newPasswordConfirm.notMatching,Password is not matching.,,,,
validation.firstName.required,First name is required.,,,,
validation.firstName.minLength,First name must be at least 2 characters long.,,,,
validation.firstName.maxLength,First name cannot be more than 32 characters long.,,,,
validation.lastName.required,Last name is required.,,,,
validation.lastName.minLength,Last name must be at least 2 characters long.,,,,
validation.lastName.maxLength,Last name cannot be more than 32 characters long.,,,,
validation.termsAndPolicy.required,You must accept the terms and policy to sign up.,,,,
validation.phoneNumber.required,Phone number is required.,,,,
validation.phoneNumber.invalid,Phone number is not valid.,,,,
validation.chef.profileName.required,Profile name is required.,,,,
validation.chef.profileName.minLength,Profile name must be more than 5 characters long.,,,,
validation.chef.profileName.maxLength,Profile name cannot be more than 32 characters long.,,,,
validation.chef.aboutMe.required,This field is required.,,,,
validation.chef.aboutMe.minLength,This field must be more than 5 characters long.,,,,
validation.chef.aboutMe.maxLength,This field cannot be more than 32 characters long.,,,,
validation.chef.cuisines.required,This field is required.,,,,
validation.chef.sellPlan.required,This field is required.,,,,
validation.offer.title.maxLength,This field cannot be more than 64 characters long.,,,,
validation.offer.description.maxLength,This field cannot be more than 512 characters long.,,,,
validation.global.required,This field is required.,,,,
validation.global.maxDistance.required,Max distance is required.,,,,
validation.global.deliveryPrice.required,Delivery price is required.,,,,
instruction.slide1.title,Fresh authentic homemade food,"Des plats authentiques, faits maison",,,
instruction.slide1.description,"Order from a variety of authentic Halal homemade food, cooked by your next door Home-Chef specially for you.<br/>Enjoy the taste of home...","Commandez des plats Halal authentiques, cuisinez spécialement pour vous par vos voisins Home-Chef.<br/>Profitez des saveurs faits maison...",,,
instruction.slide2.title,Choose from 2 different order types,Choisissez parmi 2 types de commande,,,
instruction.slide2.description,"<b>Pre-order:</b> Book yourself a meal the Home-Chef is planning to cook on a specific date.<br/><b>On demand:</b> Ask the Home-Chef to prepare a dish specially for you.","<b>Précommande :</b> Réserver un repas que le Home-Chef aura planifié de cuisiner.<br/><b>Sur demande:</b> Demandez au  Home-Chef de préparer un repas spécialement pour vous.",,,
instruction.slide3.title,We make sure that you only get the best,Nous vous garantissons le meilleur,,,
instruction.slide3.description,"We regularly audit the Home-Chefs for the Halal meat sourcing, Hygienic rules and more.","Nous vérifions régulièrement auprès de nos Home-Chefs les normes d'hygiènes, le respect des normes Halal, etc.",,,
instruction.slide3.commitmentLink,Click here to learn more about our commitments.,"Cliquez ici pour en savoir plus sur nos engagements.",,,
home.menu.greeting,"Hi there!",Bonjour,,,
home.menu.subtitle,View personal information,Voir mes informations,,,
home.menu.login,Log-In,Se connecter,,,
home.menu.signup,Sign-Up,S'inscrire,,,
home.menu.myAccount,My Account,Mon compte,,,
home.menu.myOrders,My Orders,Mes commandes,,,
home.menu.inbox,Inbox,Messagerie,,,
home.menu.becomeAHomeChef,Become a Home-Chef,Devenir un Home-Chef,,,
home.menu.chefDashboard,Chef Dashboard,Tableau de bord,,,
home.menu.shareAndEarn,Share & Earn,Partager,,,
home.menu.needHelp,Need help?,Besoin d'aide?,,,
home.menu.logout,Logout,Déconnexion,,,
home.title.timeToEat,"Time to eat proper food!","Que du fait maison!",,,
home.title.findOffer,Find offers in your area,Trouvez les offres près de chez vous,,,
home.slides.locationDescription,Enter your location or let us do it for you,Entrez votre localisation ou utilisez la géolocalisation,,,
home.slides.exploreDescription,Explore a variety of Halal dishes made by Home-Chefs in your area,,,,
home.slides.orderDescription,Place your orders and enter your pickup date/time and quantities,,,,
home.slides.title,This is how it works,Comment ça marche,,,
home.searchBar.myLocation,My location,Ma localisation,,,
home.searchBar.poweredBy,Powered by,,,,
home.searchBar.show,Show,Afficher,,,
home.searchBar.suggestions,Suggestions,Suggestions,,,
auth.emailVerification.verifiyYourEmail,Verify your email,Vérification de l'email,,,
auth.emailVerification.pleaseEnterCode,Please enter the 6 digits code sent to:,Veuillez entrer les 4 chiffres du code envoyé à :,,,
auth.login.pageTitle,Log in to your account,Connexion à votre compte,,,
auth.login.loginWithGoogle,Log in with Google,S'identifier avec Google,,,
auth.login.loginWithFacebook,Log in with Facebook,S'identifier avec Facebook,,,
auth.login.forgotPassword,Forgot password?,Mot de passe oublié?,,,
auth.login.doNotHaveAnAccount,Don't have an account?,Vous n'avez pas de compte?,,,
auth.passwordResetConfirm.emailSent,Email has been sent!,Email envoyé!,,,
auth.passwordResetConfirm.pleaseCheckYourInbox,Please check your inbox and enter the 6 digits code below,Veuillez vérifier votre boîte mail et cliquez sur le lien reçu pour réinitialiser le mot de passe,,,
auth.passwordResetConfirm.didNotReceiveCode,Didn't receive the code?,vous n'avez pas reçu le lien?,,,
auth.passwordReset.forgotYourPassword,Forgot your password?,Mot de passe oublié?,,,
auth.passwordReset.enterRegisteredEmail,Enter your registered email below to receive password reset instructions,Veuillez entrer votre email d'enregistrement ci-dessous pour recevoir les instructions de réinitialisation du  mot de passe,,,
auth.passwordReset.rememberPassword,Remember password?,Mot de passe retrouvé?,,,
auth.passwordUpdate.passwordReset,Password reset,Réinitialisation du mot de passe,,,
auth.passwordUpdate.setupNewPassword,Set up your new password,Configurez votre nouveau mot de passe,,,
auth.signup.pageTitle,Create an account,Créer un nouveau compte,,,
auth.signup.signupWithGoogle,Sign up with Google,S'inscrire avec Google,,,
auth.signup.signupWithFacebook,Sign up with Facebook,S'inscrire avec Facebook,,,
auth.signup.alreadyHaveAnAccount,Already have an account?,Vous avez déjà un compte,,,
account.setting.title,My account,Mon compte,,,
account.setting.personalDetails,Personal details,Mes Informations,,,
account.setting.paymentMethods,Payment methods,Moyens de paiement,,,
account.setting.notificationSettings,Notification settings,Paramètre des notifications,,,
account.notificationSettings.title,Notification settings,Paramètre ded notifications,,,
account.notificationSettings.turnOffAll,Turn off all notifications,Désactiver toutes les notifications,,,
account.notificationSettings.importantNotifications,Important notifications,Notifications importantes,,,
account.notificationSettings.newMessage,New message,Nouveau message,,,
account.notificationSettings.newOrder,New order,Nouvelle commande,,,
account.notificationSettings.orderUpdate,Order update,Informations sur votre commande,,,
account.notificationSettings.newReview,New review,Nouvelle avis,,,
account.notificationSettings.marketingNotification,Marketing notifications,Notifications commercial,,,
account.notificationSettings.newFollower,New follower,Nouvel abonné,,,
account.notificationSettings.favouriteChefOffers,Favourite Chef's offers,Offres de vos Chefs favoris,,,
account.notificationSettings.discountActions,Discount actions,Réductions,,,
account.notificationSettings.customerServiceNotifications,Customer service notifications,Notifications du service client,,,
account.notificationSettings.customerService,Customer service,Service client,,,
account.paymentMethods.title,Payment methods,Moyens de paiement,,,
account.personalDetails.title,Personal details,Mes informations,,,
chef.engagements.yourEngagements,Your engagements,Vos Engagements,,,
chef.engagements.ourEngagements,Our engagements,Nos Engagements,,,
chef.engagements.keepItClean.title,Keep it clean,Propreté,,,
chef.engagements.keepItClean.description,"During food preparation, keep the working surface clean and wash your hands regularly (we recommend to use gloves and a hairnet).<br/>Do not handle food if you feel ill.","Pendant la préparation des repas, garder la surface de préparation propre, laver vos mains régulièrement (nous recommandons l'utilisation de gants et d'une charlotte).<br/>Ne cuisinez pas si vous vous sentez malade.",,,
chef.engagements.storeItWell.title,Store it well,Stockage,,,
chef.engagements.storeItWell.description,Make sure to store in the fridge the food that requires low storage temperatures.<br/>Always pay attention to the expiry dates of each ingredient.,"Assurez-vous que la nourriture conservée au réfrigérateur est à bonne température.<br/>Vérifier les dates de péremption de chaque ingrédient.",,,
chef.engagements.cookItThrough.title,Cook it through,Cuisson,,,
chef.engagements.cookItThrough.description,Cook the food to proper temperatures.,Cuisinez les aliments à bonne température,,,
chef.engagements.keepItHalal.title,Keep it Halal,Halal,,,
chef.engagements.keepItHalal.description,You engage to only use Halal ingredients when preparing the food to be sold on Halal-Homemade.<br/>Please make sure to buy the meat from a Halal certified butcher or store.,Vous vous engagez à utiliser uniquement des ingrédients Halals pour préparer les repas vendus sur Halal-Homemade.<br/>Assurez-vous d'acheter la viande auprès d'une boucherie Halal.,,,
chef.engagements.keepItProfessional.title,Keep it professional,Soyez professionnel,,,
chef.engagements.keepItProfessional.description,Each customer will have the right to review your offer after receiving their orders. Make sure to respect the communicated timings.<br/>Use a proper packaging for each dish (we will support you to get the right packaging for your dishes. Find more under tips and tricks section),Chaque client a le droit de poster un avis après avoir reçu leur commande. Respecter les horaires annoncés.<br/>Emballer convenablement chaque plat (nous vous aiderons à obtenir l'emballage adéquat. Trouvez plus d'informations dans la section trucs et astuces).,,,
chef.engagements.findCustomers.title,Find customers,Trouver des clients,,,
chef.engagements.findCustomers.description,We will connect you to customers in your area. We take care of the marketing and advertisement so you can boost your sales.,Nous allons vous connecter aux clients dans votre secteur. Nous prenons en charge le marketing et la publicité pour booster vos ventes.,,,
chef.engagements.managePayments.title,Manange payments,Règlement,,,
chef.engagements.managePayments.description,We are securely managing the payments and transaction with our partner Stripe.<br/>Every two weeks, the money will be automatically sent, free of charge, to your indicated account.,Nous gérons les transactions sécurisées via notre partenaire Stripe.<br/>Les règlements sont effectués toutes les deux semaines, par virement bancaire, sans frais supplémentaire.,,,
chef.engagements.customerSupport.title,Customer support,Support client,,,
chef.engagements.customerSupport.description,Our service team is always ready to assist you with your questions.,Notre équipe se tient à votre disposition.,,,
chef.engagements.getApprovedSign.title,Get the approved sign,Obtenir le signe certifier,,,
chef.engagements.getApprovedSign.description,You have the option to make your profile approved. Just let us know. Our team will get in touch with you to check the following points:<br/>- Halal meat sourcing.<br/>- Respect of hygienic standards.<br/>- Kitchen equipment quality.,Vous pouvez faire certifier votre profil si vous le souhaitez. Tenez-nous au courant, notre équipe vous contactera afin de vérifier les points suivants:<br/>- Les ingrédients sont certifiés Halal.<br/>- Le respect des normes d'hygiène.<br/>- La qualité de vos équipements de cuisine,,,
chef.engagements.freeOfCharge.title,Free of charge,Accès gratuit,,,
chef.engagements.freeOfCharge.description,"Our platform is free and will stay free, there are no hidden costs to be charged for the Home-Chefs. You will receive 100% of your selling prices.<br/>We only charge the final customers 15% fees to keep our platform up and running.","Notre plateforme est gratuite et le restera. Les Home-Chef n'ont aucune charge à régler. Vous recevrez 100% du montant de vos ventes.<br/>Nous faisons payer au client 15% de frais sur le prix de la commande, pour gérer la maintenance et la continuité de l'application.",,,
chef.instruction.slide1.title,Flexibility,Flexibilité,,,
chef.instruction.slide1.description,"You control everything! You decide how often you want to sell, what you want to sell, the quantity as well as the price of each dish! Our task is to find you hungry customers.","Tout est sous votre contrôle! Choisissez ce que vous voulez vendre, à quelle fréquence, quelle quantité et déterminer vous-même le prix de vos plat! Notre rôle est de vous trouver des clients.",,,
chef.instruction.slide2.title,Comfort & convienience,"Pratique & facile",,,
chef.instruction.slide2.description,"Halal-Homemade makes it easy to manage your orders, costumers and payments all in one place.","Halal-Homemade permet de mieux gérer vos commandes, les clients et les paiements tout cela dans un même endroit.",,,
chef.instruction.slide3.title,Privacy,Confidentialité,,,
chef.instruction.slide3.description,"Your personal information and transactions are completely secured and we don't share it with third parties.","Vos informations personnelles et vos transactions sont entièrement sécurisées et nous ne les partageons pas avec des tiers.",,,
chef.promote.title,My profile,Mon Profil,,,
chef.promote.avatar.comment,"Adding your picture will increase your customers trust and boost your sells.","Ajouter une photo augmente la confiance des clients et boostra vos ventes.",,,
chef.promote.cusinesYouSpecialisedIn,Cuisines you are specialised in,Cuisines you are specialised in,,,
chef.promote.howOftenYouPlanToSell,How often you plan to sell,À quelle fréquence pensez-vous vendre,,,
chef.promote.referalCodeIfApplicable,Referal code (if applicable),Code de parrainage (si applicable),,,
chef.promote.selectAvatarSource,Choose picture from,Choose picture from,,,
permission.location.title,Use your location,Utiliser votre localisation,,,
permission.location.description,"Give location access so we can check for available offers in your area.","Partagez votre localisation, nous trouverons les offres disponible près de chez vous.",,,
phone.verification.title,Phone number verification,Vérification du numéro de téléphone,,,
phone.verification.enterPhoneNumber,Enter your phone number to verify your account,Entrer votre numéro de téléphone pour vérifier votre compte,,,
phone.verification.typeSMSCode,Type in the 4 digit code we have sent you per SMS,Taper les 4 chiffres du code reçu par SMS,,,
chef.dashboard.title,Chef dashboard,Chef dashboard,,,
chef.dashboard.newOffer,New offer,New offer,,,
chef.dashboard.chefInbox,Chef's inbox,Chef's inbox,,,
chef.dashboard.manageIncomingOrder,Manage incoming orders,Manage incoming orders,,,
chef.dashboard.myOffers,My offers,My offers,,,
chef.dashboard.aboutMe,About me,About me,,,
chef.dashboard.myWallet,My wallet,My wallet,,,
chef.dashboard.packaging,Packaging,Packaging,,,
chef.dashboard.vacationMode,Vacation mode,Vacation mode,,,
chef.dashboard.openOrders,Open orders,Open orders,,,
chef.dashboard.sales,Sales,Sales,,,
chef.dashboard.avatar.uploadNew,Upload new,Upload new,,,
chef.offer.startFromScratch,Start from scratch,Start from scratch,,,
chef.offer.startBasedOnExistingOffer,Start based on existing offer,Start based on existing offer,,,
chef.offer.new.title,New offer,New offer,,,
chef.offer.new.publishOffer,Publish offer,Publish offer,,,
chef.offer.new.offerPictureDescription,Make your offer shine and attach up to 3 pictures.,Make your offer shine and attach up to 3 pictures.,,,
chef.offer.new.uploadPictures,Upload pictures,Upload pictures,,,
chef.offer.new.uploadMorePictures,Upload more pictures,Upload more pictures,,,
chef.offer.new.dishAndOfferDetails,Dish and offer details,Dish and offer details,,,
chef.offer.new.dishDetails.title,Dish details,Dish details,,,
chef.offer.new.dishDetails.dishOrigin,Dish origin,Dish origin,,,
chef.offer.new.deliveryOptions.title,Delivery options,Delivery options,,,
chef.offer.new.deliveryOptions.pickupAddressDescription,This information will only be available to the customer after you receive the order,This information will only be available to the customer after you receive the order,,,
chef.offer.new.deliveryOptions.freeDeliveryForMinimum,Free delivery for a minimum order price of,Free delivery for a minimum order price of,,,
chef.offer.new.price.description,"* As matter of transparency we want to inform you that the price you indicate here is what you will get as a seller.<br/>The customer will be charged an additional commission. This commission is used to cover the cost of the platform infrastructure as well as the marketing activities to reach out to new customers.","* As matter of transparency we want to inform you that the price you indicate here is what you will get as a seller.<br/>The customer will be charged an additional commission. This commission is used to cover the cost of the platform infrastructure as well as the marketing activities to reach out to new customers.",,,
chef.inbox.title,Chef's inbox,Chef's inbox,,,
chef.inbox.typeInYourMessage,Type in your message,Type in your message,,,
chef.inbox.clearSelectedNotifications,Clear selected notifications,Clear selected notifications,,,
chef.inbox.clearAllReadNotifications,Clear all read notifications,Clear all read notifications,,,
chef.inbox.clearSelectedConversations,Clear selected conversartions,Clear selected conversartions,,,
chef.inbox.clearAllFinishedConversations,Clear all finished conversations,Clear all finished conversations,,,
chef.chat.blockUser,Block user,Block user,,,
chef.chat.reportUser,Report user,Report user,,,
chef.orders.title,Incoming orders,Incoming orders,,,
chef.orders.instruction.pending.description,"When a customer make an on-demand order, you have 24 hours to respond by either rejecting or approving the order. Once the order is approved it moves to in-preparation status. If you don't answer within the 24 hours the order is automatically cancelled.",,,,
chef.orders.instruction.inPreparation.description,'The "pre-order" orders are automatically set in-preparation. whereas the "on-demand" needs your pre-approval. During the In-preparation stage, you can contact the customer through the chat function and discuss any special arrangements if needed. Upon handover of the meal, you need to scan the QR code from the customer, or ask him to give you the delivery code. This the only way we make sure that customer received his/her meal and we can unlock the money for withdrawal.',,,,
chef.orders.instruction.delivered.description,"After handing over the meal, the orders will be stored under this section for archiving. The customer will be then ask to leave you a review.",,,,
chef.orders.pending.title,Pending orders,Pending orders,,,
chef.orders.pending.detail.takeOrder,Take order,Take order,,,
chef.orders.pending.detail.rejectOrder,Reject order,Reject order,,,
chef.orders.inPreparation.title,In-preparation,In-preparation,,,
chef.orders.inPreparation.detail.viewOrderDetails,View order details,View order details,,,
chef.orders.inPreparation.detail.contactTheCustomer,Contact the customer,Contact the customer,,,
chef.orders.inPreparation.detail.addressDirection,Address direction,Address direction,,,
chef.orders.inPreparation.detail.confirmDelivery,Confirm delivery,Confirm delivery,,,
chef.orders.deliveryConfirmation.title,Delivery confirmation,Delivery confirmation,,,
chef.orders.deliveryConfirmation.theOrderNumber,The order number,The order number,,,
chef.orders.deliveryConfirmation.isMarkedAsDelivered,is marked as delivered,is marked as delivered,,,
chef.offer.list.title,My offers,My offers,,,
chef.offer.list.showOffer,Show offer,Show offer,,,
chef.offer.list.viewOrders,View orders,View orders,,,
chef.offer.list.editOffer,Edit offer,Edit offer,,,
chef.offer.list.cancelOffer,Cancel offer,Cancel offer,,,
chef.offer.list.deleteOffer,Delete offer,Delete offer,,,
chef.wallet.title,My wallet,My wallet,,,
chef.wallet.pendingAmount,Pending amount,Pending amount,,,
chef.wallet.availableAmount,Available amount,Available amount,,,
chef.wallet.recentTransactions,Recent transactions,Recent transactions,,,
chef.wallet.activeYourWallet,Active your wallet,Active your wallet,,,
chef.wallet.activeYourWalletDescription,Activate your wallet so we can start sending you the money to the indicated bank account,Activate your wallet so we can start sending you the money to the indicated bank account,,,
chef.wallet.walletInformation.title,Wallet information,Wallet information,,,
chef.wallet.walletInformation.dataPolicy,Your data is completely secured. We only share it with our financial partner to enable automatic pay-outs.,Your data is completely secured. We only share it with our financial partner to enable automatic pay-outs.,,,
chef.wallet.walletInformation.transferPolicy,"* In order to be able to proceed with the money transfer, the first and last name provided here needs to be matching with the account's holder.",,,,
chef.wallet.updateYourWallet,Update your wallet,Update your wallet,,,
chef.wallet.chefWalletEnabledDescription,Your wallet is enabled and withdrawal is possible!,Your wallet is enabled and withdrawal is possible!,,,
chef.wallet.chefWalletInVerificationDescription,Your wallet is in verification process. Please wait until it's completed.,Your wallet is in verification process. Please wait until it's completed.,,,
chef.wallet.chefWalletVerificationFailedDescription,More information is needed to activate your wallet. Please tap update button above to provide more information.,More information is needed to activate your wallet. Please tap update button above to provide more information.,,,
chef.wallet.chefWalletSuspendedDescription,Your wallet is suspended now. Please contact support to activate it agian.,Your wallet is suspended now. Please contact support to activate it agian.,,,
chef.vacation.title,Vacation mode,Vacation mode,,,
chef.vacation.modeToggleDescription,"Open vacation: Put all your offers on-hold and stop receiving new orders.","Open vacation: Put all your offers on-hold and stop receiving new orders.",,,
chef.vacation.definedPeriod,"For a defined period*: ","For a defined period*: ",,,
chef.vacation.description,"The customers will still be able to place new orders that should be prepared after the vacation time is over.","The customers will still be able to place new orders that should be prepared after the vacation time is over.",,,
chef.packaging.title,Packaging,Packaging,,,
chef.packaging.description1,"In order to support you with the packaging for the meals that you will be offering in our platform. We have secured an exclusive deal with our partner","In order to support you with the packaging for the meals that you will be offering in our platform. We have secured an exclusive deal with our partner",,,
chef.packaging.description2,"Please apply the following code at the checkout to secure 20% discount on all your future orders.","Please apply the following code at the checkout to secure 20% discount on all your future orders.",,,
chef.packaging.copyCode,Copy code,Copy code,,,
chef.profile.title,Chef profile,Chef profile,,,
order.review.question,How would you rate this dish and contact with the chef?,How would you rate this dish and contact with the chef?,,,